title|March2011|September2011|March2012|September2012|March2013|September2013|October2013|January2014|April2014|July2014|October2014|January2015|April2015|July2015|November2015|February2016|April2016|August2016|March2017|June2017|September2017|November2017|February2018|May2018|September2018|December2018|January2019|April2019|July2019|October2019|January2020|April2020|June2020|September2020|December2020
Lightning, Dragon Ruler of Drafts||||||0|0|0|0|0|0|0|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Limiter Removal|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|3|3|3|3|3|3|3|3|3
Linkross||||||||||||||||||||||||||||||||3|3|3|0
Lonefire Blossom|2|1|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Lumina, Lightsworn Summoner|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Lunalight Tiger|||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0
Luster Pendulum, the Dracoslayer|||||||||||||||3|1|1|1|1|1|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3
Lyrilusc - Recital Starling||||||||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3
M-X-Saber Invoker|||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|0|0|0
Macro Cosmos|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Mage Power|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Magic Cylinder|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Magical Explosion|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Magical Mid-Breaker Field||||||||||||||||||3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1
Magical Scientist|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Magical Stone Excavation|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Magician of Faith|0|0|0|0|0|0|0|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Majespecter Unicorn - Kirin|||||||||||||||3|3|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Makyura the Destructor|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3
Manticore of Darkness|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Marauding Captain|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Marshmallon|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Mask of Darkness|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Mass Driver|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Master Peace, the True Dracoslaying King||||||||||||||||||||3|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0
Mathematician||||||||||3|3|3|3|3|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
Maxx "C"|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
Mecha Phantom Beast Auroradon||||||||||||||||||||||||||||||||3|3|3|3
Mecha Phantom Beast O-Lion||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0
Megamorph|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Mermail Abyssgunde|||3|3|3|3|3|3|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Metamorphosis|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Metaverse||||||||||||||||||||||3|3|3|3|3|3|3|1|1|1|1|1|1|1
Mezuki|1|1|1|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Mind Control|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|2|1|1|1|1
Mind Crush|1|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Mind Master|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Mirage of Nightmare|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Mirror Force|1|1|1|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Miscellaneousaurus|||||||||||||||||||3|3|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3
Monster Gate|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3
Monster Reborn|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
Morphing Jar|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1
Morphing Jar 2|2|2|2|2|2|2|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|3|3|3
Mystical Space Typhoon|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Nadir Servant||||||||||||||||||||||||||||||||||3|3
Necro Gardna|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Necroface|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3
Nekroz of Brionac|||||||||||||2|2|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3
Nekroz of Unicore|||||||||||||3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3
Neo-Spacian Grand Mole|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3
Night Assailant|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Nobleman of Crossout|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Number 16: Shock Master||||3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Number 42: Galaxy Tomahawk||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|0
Number 86: Heroic Champion - Rhongomyniad||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|0
Number 95: Galaxy-Eyes Dark Matter Dragon|||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0
Number S0: Utopic ZEXAL||||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Ojama Trio|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3
One Day of Peace|||3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
One for One|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Orcust Harp Horror||||||||||||||||||||||||||3|3|3|3|3|0|0|0|0|0
Outer Entity Azathot|||||||||||||||||||||||||3|3|3|3|3|3|0|0|0|0|0
Overload Fusion|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Painful Choice|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Pantheism of the Monarchs||||||||||||||||3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3
Pendulum Call||||||||||||||||3|3|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Performage Damage Juggler|||||||||||||||3|0|0|0|0|0|0|0|1|1|1|1|1|1|2|2|3|3|3|3|3
Performage Plushfire|||||||||||||||3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Performapal Monkeyboard||||||||||||||||1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Performapal Skullcrobat Joker||||||||||||||||1|1|1|1|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0
Phantom of Chaos|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Phantom Skyblaster|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1
Phoenixian Cluster Amaryllis|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0
Plaguespreader Zombie|1|1|1|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Pot of Avarice|3|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|3|3|3
Pot of Desires||||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Pot of Duality|3|3|3|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Pot of Greed|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Prank-Kids Meow-Meow-Mu|||||||||||||||||||||||||||||||||||3
Predaplant Verte Anaconda||||||||||||||||||||||||||||||||3|3|3|3
Premature Burial|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Preparation of Rites|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3
Primal Seed|3|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Protector of the Sanctuary|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
PSY-Framelord Omega|||||||||||||||3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1
Qliphort Scout||||||||||||3|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3
Raigeki|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Raiza the Storm Monarch|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Rank-Up-Magic Argent Chaos Force|||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0
Reactan, Dragon Ruler of Pebbles||||||0|0|0|0|0|0|0|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Reasoning|1|1|1|2|2|2|2|2|2|2|2|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Reborn Tengu||3|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Reckless Greed|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Red Gadget|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Red Reboot|||||||||||||||||||||||||3|3|3|3|3|3|1|1|1|1|1
Red Rose Dragon|||||||||||||||||||||||||||3|3|3|3|3|3|3|3|3
Red-Eyes Darkness Metal Dragon|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Redox, Dragon Ruler of Boulders||||||3|3|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Reflect Bounder|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Reinforcement of the Army|1|1|1|1|1|1|1|1|1|2|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Rekindling|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3
Rescue Cat|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Rescue Rabbit|||3|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Return from the Different Dimension|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Right Arm of the Forbidden One|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Right Leg of the Forbidden One|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Ring of Destruction|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3|3|3|3|3|3
Ritual Beast Ulti-Cannahawk|||||||||||||3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3
Royal Decree|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Royal Oppression|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Royal Tribute|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3
Sacred Phoenix of Nephthys|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Sacred Sword of Seven Stars||||||3|3|1|1|1|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Salamangreat Circle||||||||||||||||||||||||||||3|1|1|1|1|1|1|1
Salamangreat Gazelle||||||||||||||||||||||||||||3|1|1|1|1|1|1|1
Salamangreat Miragestallio||||||||||||||||||||||||||||3|3|3|0|0|0|0|0
Samsara Lotus|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|0|0|0
Sangan|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Saqlifice||||||||||||3|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3
Scapegoat|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|1|1|1|1|1|1|1|1|1
Sekka's Light||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1
Self-Destruct Button|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Servant of Endymion||||||||||||||||||||||||||||3|3|3|1|1|1|1|1
Set Rotation||||||||||||||||||||3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Shien's Smoke Signal|3|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Shooting Riser Dragon|||||||||||||||||||||||||||||3|3|3|3|3|3|3
Shurit, Strategist of the Nekroz|||||||||||||3|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|3|3|3|3|3|3
Simorgh, Bird of Sovereignty||||||||||||||||||||||||||||||||3|3|3|3
Sinister Serpent|0|0|0|0|0|0|0|0|0|0|0|0|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Sixth Sense|||||||1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Skill Drain|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Sky Striker Ace - Kagari|||||||||||||||||||||||||3|3|3|1|1|1|3|3|3|3|3
Sky Striker Mecha - Hornet Drones|||||||||||||||||||||||||1|1|1|1|1|1|1|1|1|1|1
Sky Striker Mecha - Widow Anchor|||||||||||||||||||||||||3|3|3|3|3|1|1|2|2|3|3
Sky Striker Mecha Modules - Multirole|||||||||||||||||||||||||3|3|3|3|1|1|1|1|1|1|1
Sky Striker Mobilize - Engage!|||||||||||||||||||||||||3|3|3|3|3|3|0|0|0|0|0
Slash Draw|||||||||||||||||||||3|3|3|3|3|3|1|1|1|1|1|1|1|1|1
Smashing Ground|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Smoke Grenade of the Thief|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0
Snatch Steal|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Snipe Hunter|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Solemn Judgment|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|3|3|3|3|3|3|3
Solemn Warning|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3
Soul Charge|||||||||3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0
Soul Drain||||3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3
Speedroid Terrortop|||||||||||||||3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Spellbook of Fate|||||3|3|3|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Spellbook of Judgment||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Spirit Reaper|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Spore|3|3|0|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
SPYRAL GEAR - Drone||||||||||||||||||3|3|3|3|1|1|1|1|1|1|1|1|1|1|3|3|3|3
SPYRAL Master Plan|||||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0
SPYRAL Quik-Fix||||||||||||||||||3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1
SPYRAL Resort|||||||||||||||||||3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1
Stream, Dragon Ruler of Droplets||||||0|0|0|0|0|0|0|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Striker Dragon|||||||||||||||||||||||||||||||3|3|3|3|3
Substitoad|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Summon Sorceress|||||||||||||||||||||||||3|3|3|0|0|0|0|0|0|0|0
Summoner Monk|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Super Polymerization|3|3|3|3|3|3|3|3|3|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|3|3|3|3|3|3|3
Super Rejuvenation|3|3|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|3|3|3|3
Supreme King Dragon Starving Venom|||||||||||||||||||||3|3|3|0|0|0|0|0|0|0|0|0|0|0|0
Swords of Revealing Light|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Symbol of Heritage|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
T.G. Hyper Librarian||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|3|3|3|3|3|1|1|1|1
T.G. Striker||3|1|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Tellarknight Ptolemaeus||||||||||||||3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Tempest Magician|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0
Tempest, Dragon Ruler of Storms||||||3|3|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1
Temple of the Kings|0|0|0|0|0|0|0|0|0|0|0|0|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Terraforming|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|2|1|1|1|1|1|1|1
That Grass Looks Greener|||||||||||||||||||3|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0
The Agent of Mystery - Earth||3|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
The Forceful Sentry|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
The Monarchs Stormforth|||||||||||3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3
The Phantom Knights of Rusty Bardiche||||||||||||||||||||||||||3|3|3|0|0|0|0|0|1|1
The Phantom Knights' Rank-Up-Magic Launch|||||||||||||||||||3|3|3|3|3|3|3|3|3|0|0|0|3|3|3|3|3
The Transmigration Prophecy|1|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
The Tyrant Neptune|||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Thousand-Eyes Restrict|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Thunder Dragon Colossus||||||||||||||||||||||||||3|3|3|3|3|0|0|0|0|0
Thunder King Rai-Oh|3|3|3|3|2|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3
Tidal, Dragon Ruler of Waterfalls||||||3|3|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Time Seal|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Toadally Awesome|||||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|2|3
Topologic Gumblar Dragon|||||||||||||||||||||||||3|3|0|0|0|0|0|0|0|0|0
Torrential Tribute|1|1|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3
Tour Guide From the Underworld||3|3|2|2|2|2|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|3|3
Tragoedia|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Trap Dustshoot|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Treeborn Frog|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Tribe-Infecting Virus|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|3|3|3
Trickstar Light Stage|||||||||||||||||||||3|3|3|3|3|3|3|3|1|1|1|1|1|1|1
Trishula, Dragon of the Ice Barrier||1|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|1|1|1|1
True King Lithosagym, the Disaster|||||||||||||||||||3|3|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1
True King of All Calamities||||||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
True King's Return||||||||||||||||||||3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2
